epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,10074.3,0.60684,0.3635,0.00665,0.8703,0.78738,0.85226,0.71096,0.77242,0.61359,0.01216,9.47376e-05,9.47376e-05,9.47376e-05
74,10211.2,0.60162,0.35663,0.0065,0.8667,0.77564,0.85124,0.71059,0.76758,0.61935,0.012,8.88253e-05,8.88253e-05,8.88253e-05
75,10348.3,0.60237,0.35311,0.00638,0.87796,0.78098,0.85013,0.71072,0.7734,0.61476,0.0121,8.30746e-05,8.30746e-05,8.30746e-05
76,10486.8,0.59413,0.35943,0.00654,0.87391,0.78394,0.84895,0.70951,0.76904,0.61883,0.01195,7.74911e-05,7.74911e-05,7.74911e-05
77,10626.8,0.60437,0.36132,0.00649,0.88168,0.76641,0.84823,0.70878,0.76478,0.62142,0.0119,7.20803e-05,7.20803e-05,7.20803e-05
78,10764,0.60142,0.35944,0.00642,0.86379,0.77872,0.85105,0.71309,0.76232,0.61133,0.01191,6.68475e-05,6.68475e-05,6.68475e-05
79,10901.1,0.60455,0.35549,0.0066,0.84892,0.79669,0.84911,0.711,0.76396,0.61906,0.01191,6.1798e-05,6.1798e-05,6.1798e-05
80,11038,0.59957,0.35339,0.00657,0.85379,0.79559,0.85361,0.71511,0.76469,0.60946,0.01194,5.69366e-05,5.69366e-05,5.69366e-05
81,11176,0.59056,0.34534,0.00644,0.87819,0.77108,0.84803,0.70964,0.76486,0.62207,0.01194,5.22683e-05,5.22683e-05,5.22683e-05
82,11310.2,0.593,0.35579,0.00629,0.86355,0.78334,0.84946,0.71011,0.76355,0.61714,0.01188,4.77976e-05,4.77976e-05,4.77976e-05
83,11445.7,0.58774,0.34671,0.00639,0.85862,0.79167,0.84883,0.70947,0.76525,0.61867,0.01187,4.35288e-05,4.35288e-05,4.35288e-05
84,11580.7,0.5855,0.3467,0.00635,0.87502,0.78441,0.84958,0.71134,0.76459,0.60246,0.0119,3.94663e-05,3.94663e-05,3.94663e-05
85,11716.6,0.58799,0.34816,0.00624,0.86784,0.7857,0.85072,0.71165,0.76538,0.61533,0.01189,3.56141e-05,3.56141e-05,3.56141e-05
86,11852.7,0.58497,0.33723,0.00619,0.86268,0.7868,0.84902,0.71155,0.76544,0.60854,0.01189,3.19759e-05,3.19759e-05,3.19759e-05
87,11987.2,0.59688,0.35608,0.00618,0.85412,0.79362,0.84968,0.71235,0.76175,0.60639,0.01184,2.85553e-05,2.85553e-05,2.85553e-05
88,12121.6,0.5718,0.33458,0.00601,0.86883,0.78458,0.84989,0.71357,0.76136,0.60626,0.01184,2.53557e-05,2.53557e-05,2.53557e-05
89,12257.3,0.58675,0.339,0.0062,0.88113,0.78416,0.85078,0.71187,0.76234,0.61075,0.01185,2.23803e-05,2.23803e-05,2.23803e-05
90,12394,0.58067,0.33758,0.00628,0.87582,0.78139,0.84971,0.71272,0.76144,0.61401,0.01183,1.9632e-05,1.9632e-05,1.9632e-05
91,12544.1,0.55191,0.29084,0.00585,0.86992,0.78979,0.85042,0.71144,0.76091,0.61519,0.01182,1.71135e-05,1.71135e-05,1.71135e-05
92,12679.4,0.55479,0.29475,0.00584,0.87773,0.78622,0.85336,0.71431,0.76065,0.61048,0.0118,1.48273e-05,1.48273e-05,1.48273e-05
93,12815.1,0.54042,0.28747,0.00589,0.86191,0.79289,0.85091,0.71273,0.76116,0.61328,0.0118,1.27757e-05,1.27757e-05,1.27757e-05
94,12951,0.54651,0.28016,0.00597,0.86445,0.79417,0.85142,0.71209,0.76264,0.61401,0.01183,1.09606e-05,1.09606e-05,1.09606e-05
95,13088.5,0.54097,0.28812,0.00579,0.8632,0.79726,0.85065,0.71273,0.76135,0.61281,0.01181,9.38391e-06,9.38391e-06,9.38391e-06
96,13224.5,0.54724,0.2803,0.00586,0.85684,0.80051,0.85029,0.7124,0.7612,0.61407,0.01182,8.04714e-06,8.04714e-06,8.04714e-06
97,13364.2,0.53358,0.27946,0.00569,0.86088,0.80044,0.84997,0.71227,0.76193,0.61454,0.01182,6.95161e-06,6.95161e-06,6.95161e-06
98,13511.1,0.54693,0.28417,0.00572,0.85984,0.801,0.84947,0.71197,0.76211,0.61729,0.01183,6.09841e-06,6.09841e-06,6.09841e-06
99,13652.5,0.5403,0.28336,0.00576,0.85686,0.80634,0.85058,0.71204,0.76241,0.61629,0.01182,5.48838e-06,5.48838e-06,5.48838e-06
100,13792,0.54227,0.28412,0.00562,0.85999,0.80311,0.85104,0.71267,0.76229,0.61527,0.01183,5.12213e-06,5.12213e-06,5.12213e-06
